long,lat,nro_registro,tipo_activ,comuna,manzana,calle_nombre,calle_altura,calle_chapa,direccion_normalizada,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.413764851918,-34.5768171126839,82414,Lineal,14,NA,República de la India,3100.0,3123,REPUBLICA DE LA INDIA 3123,Exacta,Ficus benjamina,3.2,Ocupada,Regular,A nivel,36,5
-58.4136423440549,-34.5766304429217,82415,Lineal,14,NA,República de la India,3100.0,3135,REPUBLICA DE LA INDIA 3135,LD,Fraxinus pennsylvanica,3.2,Ocupada,Regular,Elevada,17,6
-58.426281427408895,-34.590330316956,82416,Lineal,14,NA,Malabia,1600.0,1667,MALABIA 1667,Exacta,Ficus benjamina,3.5,Ocupada,Regular,Elevada,27,5
-58.4138096801168,-34.576885418848704,82418,Lineal,14,NA,República de la India,3100.0,3107,REPUBLICA DE LA INDIA 3107,Exacta,Fraxinus pennsylvanica,3.2,Ocupada,Regular,A nivel,32,9
-58.412811005034506,-34.5762016852397,82424,Lineal,14,NA,"Del Libertador, Av",3100.0,3172,DEL LIBERTADOR AV. 3172,Exacta,Jacaranda mimosifolia,11.4,Sobreocupada,Regular,Elevada,37,10
-58.4135415084445,-34.5764767952248,82432,Lineal,14,NA,República de la India,3100.0,3155,REPUBLICA DE LA INDIA 3155,Exacta,Platanus x acerifolia,3.2,Ocupada,Regular,Elevada,49,21
-58.4112871275965,-34.5772155812839,82433,Lineal,14,NA,República Arabe Siria,3300.0,3388,REPUBLICA ARABE SIRIA 3388,LA,Tilia x moltkei,3.2,Ocupada,Regular,Bajo nivel,12,6
-58.4264202845879,-34.5904223491992,82434,Lineal,14,NA,Malabia,1600.0,1655,MALABIA 1655,Exacta,Ficus benjamina,3.5,Ocupada,Regular,A nivel,90,15
-58.426493578308296,-34.5904709269154,82448,Lineal,14,NA,Malabia,1600.0,1645,MALABIA 1645,Exacta,Melia azedarach,3.5,Ocupada,Regular,A nivel,46,12
-58.4169782686265,-34.596299522372,82450,Lineal,14,NA,Bulnes,1400.0,1318,BULNES 1318,LD,Fraxinus pennsylvanica,3.2,Ocupada,Regular,Elevada,56,17
-58.426493578308296,-34.5904709269154,82451,Lineal,14,NA,Malabia,1600.0,1643,MALABIA 1643,Exacta,Melia azedarach,3.5,Ocupada,Regular,A nivel,28,7
-58.4169782686265,-34.596299522372,82456,Lineal,14,NA,Bulnes,1400.0,1318,BULNES 1318,Exacta,Ficus benjamina,3.2,Ocupada,Regular,Elevada,21,15
-58.4170125678378,-34.5964513761203,82459,Lineal,14,NA,Bulnes,1400.0,1312,BULNES 1312,Exacta,Fraxinus pennsylvanica,3.2,Ocupada,Regular,Elevada,26,5
-58.41702966379621,-34.5965270652678,82461,Lineal,14,NA,Bulnes,1400.0,1306,BULNES 1306,Exacta,Ficus benjamina,3.2,Ocupada,Regular,Elevada,16,4
-58.4266040597997,-34.5905441518141,82467,Lineal,14,NA,Malabia,1600.0,1639,MALABIA 1639,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,Elevada,42,13
-58.416874346454,-34.595839421731604,82470,Lineal,14,NA,Bulnes,1400.0,1380,BULNES 1380,Exacta,Lagerstroemia indica,3.2,Ocupada,Regular,A nivel,12,7
-58.4266040597997,-34.5905441518141,82472,Lineal,14,NA,Malabia,1600.0,1637,MALABIA 1637,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,Elevada,13,6
-58.41685722740729,-34.5957636291137,82473,Lineal,14,NA,Bulnes,1400.0,1386,BULNES 1386,Exacta,Fraxinus pennsylvanica,3.2,Ocupada,Regular,Elevada,32,15
-58.4168390616652,-34.5956832021834,82474,Lineal,14,NA,Bulnes,1400.0,1392,BULNES 1392,Exacta,Fraxinus pennsylvanica,3.2,Ocupada,Regular,A nivel,26,15
-58.4267369606248,-34.5906322354718,82475,Lineal,14,NA,Malabia,1600.0,1617,MALABIA 1617,Exacta,Fraxinus excelsior,3.5,Ocupada,Regular,Elevada,50,11
-58.4169610509215,-34.5962232937992,82476,Lineal,14,NA,Bulnes,1400.0,1330,BULNES 1330,Exacta,Ficus benjamina,3.2,Ocupada,Regular,Elevada,23,8
-58.4268594317363,-34.5908349638901,82477,Lineal,14,NA,Honduras,4600.0,4695,HONDURAS 4695,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,Elevada,34,9
-58.447439731953494,-34.566959650489395,82478,Lineal,14,NA,Arcos,1300.0,1366,ARCOS 1366,Exacta,Fraxinus pennsylvanica,4.4,Sobreocupada,Regular,Elevada,30,13
